X,Y,MNRF_District,Stocking_Year,Species,Official_Waterbody_Name,Official_French_Waterbody_Name,Unoffcial_Waterbody_Name,Waterbody_Location_Identifier,Geographic_Township,Developmental_Stage,Number_of_Fish_Stocked,Latitude,Longitude,ObjectId
-89.5726722,48.2818428,Thunder Bay District,2019,Brook Trout,,,Chub Lake (Unofficial Name),16-3092-53506,SCOBLE,Yearlings,2500,48.2818428,-89.5726722,12385
-88.6712265,48.6214585,Thunder Bay District,2019,Brook Trout,,,Caribou Lake (Unofficial Name),16-3768-53865,MCTAVISH,Yearlings,1000,48.6214585,-88.6712265,12386
-89.9779385,48.3586704,Thunder Bay District,2019,Brook Trout,,,Aldina Lake (Unofficial Name),16-2794-53602,ALDINA,Fingerlings,10000,48.3586704,-89.9779385,12387
-89.5726722,48.2818428,Thunder Bay District,2019,Brook Trout,,,Chub Lake (Unofficial Name),16-3092-53506,SCOBLE,Adult,212,48.2818428,-89.5726722,12388
-90.1379426,48.2711662,Thunder Bay District,2019,Brook Trout,,,Little Head Lake (Unofficial Name),15-7124-53502,JEAN,Fingerlings,5000,48.2711662,-90.1379426,12389
-89.8001888,48.1424252,Thunder Bay District,2019,Brook Trout,,,South Fallingsnow West Lake (Unofficial Name),16-2917-53357,DEVON,Fingerlings,2000,48.1424252,-89.8001888,12390
-90.0912749,48.1874363,Thunder Bay District,2019,Brook Trout,,,Rock Lake (Unofficial Name),15-7162-53410,HARDWICK,Fingerlings,3000,48.1874363,-90.0912749,12391
-89.8451647,48.1536743,Thunder Bay District,2019,Brook Trout,,,Devon Lake (Unofficial Name),16-2884-53371,DEVON,Fingerlings,6000,48.1536743,-89.8451647,12392
-89.9446688,48.151436,Thunder Bay District,2019,Brook Trout,,,Hartington Lake 1 (Unofficial Name),16-2810-53371,HARTINGTON,Fingerlings,3000,48.151436,-89.9446688,12393
-89.8704437,48.3770077,Thunder Bay District,2019,Brook Trout,,,Ten Minute Lake (Unofficial Name),16-2875-53620,MARKS,Fingerlings,3000,48.3770077,-89.8704437,12394
-89.8793924,48.1863846,Thunder Bay District,2019,Brook Trout,,,Morrison Lake (Unofficial Name),16-2860-53408,FRALEIGH,Fingerlings,5000,48.1863846,-89.8793924,12395
-89.9548939,48.142175,Thunder Bay District,2019,Brook Trout,,,Hartington Lake 2 (Unofficial Name),16-2802-53361,HARTINGTON,Fingerlings,5000,48.142175,-89.9548939,12396
-89.9490537,48.1470043,Thunder Bay District,2019,Brook Trout,,,Hartington Lake 3 (Unofficial Name),16-2807-53366,HARTINGTON,Fingerlings,3000,48.1470043,-89.9490537,12397
-89.7962524,48.1392638,Thunder Bay District,2019,Brook Trout,,,South Fallingsnow East Lake (Unofficial Name),16-2920-53353,DEVON,Fingerlings,2000,48.1392638,-89.7962524,12398
-81.3776527,47.7908714,Timmins District,2019,Aurora Trout,,,Nayowin Lake (Unofficial Name),17-4717-52929,BURROWS,Yearlings,1090,47.7908714,-81.3776527,12413
-81.7411562,48.5592503,Timmins District,2012,Splake,,,Cote Lake 3 (Barriers Lake) (Unofficial Name),17-4453-53785,COTE,Yearlings,1425,48.5592503,-81.7411562,12418
-81.4080904,47.2409863,Timmins District,2013,Brook Trout,,,Clems Lake (Unofficial Name),17-4691-52318,BEULAH,Yearlings,446,47.2409863,-81.4080904,12427
-81.4161178,47.4236213,Timmins District,2013,Brook Trout,,,Garibaldi Lake 6 (Unofficial Name),17-4686-52521,GARIBALDI,Yearlings,1327,47.4236213,-81.4161178,12428
-81.9335516,47.9649501,Timmins District,2013,Brook Trout,,,Trotter Lake (Unofficial Name),17-4303-53126,REGAN,Yearlings,1347,47.9649501,-81.9335516,12429
